Rede de ódio,Jan Komasa,2020,Polônia,Drama
1917,Sam Mendes,2019,EUA,Guerra
Ad Astra,James Gray,2019,EUA,Ficção
Coringa,Todd Phillips,2019,EUA,Ficção
Dois Papas,Fernando Meirelles,2019,EUA,Drama
Ford vs Ferrari,James Mangold,2019,EUA,Aventura
Klaus,Sergio Pablos,2019,EUA,Animação
O Irlandês,Martin Scorsese,2019,EUA,Drama
Parasita,Bong Joon Ho,2019,Coreia do Sul,Drama
Retrato de uma Jovem em Chamas,Céline Sciamma,2019,França,Drama
Vingadores: ultimato,Joe Russo,2019,EUA,Ficção
Assassinato às Cegas,Sriram Raghavan,2018,Índia,Policial
Bird box,Susanne Bier,2018,EUA,Ficção
Bohemian Rhapsody,Bryan Singer,2018,EUA,Drama
Cafarnaum,Nadine Labaki,2018,Líbano,Drama
Desejo de matar 2018,Eli Roth,2018,EUA,Policial
Green book: o guia,Peter Farrely,2018,EUA,Drama
Homem-Aranha no Aranhaverso,Bob Persichetti,2018,EUA,Animação
Vingadores Guerra infinita,Joe Russo,2018,EUA,Ficção
A forma da água,Guilherme Del Toro,2017,EUA,Drama
Corra!,Jordan Peele,2017,EUA,Terror
Dunkirk,Christopher Nolan,2017,Reino Unido,Guerra
Logan,James Mangold,2017,EUA,Aventura
Neve Negra,Martin Hodara,2017,Argentina,Drama
O destino de uma nação,Joe Wright,2017,Reino Unido,Guerra
O outro irmão,Israel Adrian,2017,Argentina,Drama
Órbita 9,Hatem Khraiche,2017,Espanha,Ficção
Roma,Alfonso Cuaron,2017,EUA,Drama
Shimmer Lake,Oren Uziel,2017,EUA,Policial
The post,Steven Spielberg,2017,EUA,Drama
Três anúncios para um crime,Martin McDonagh,2017,EUA,Drama
Vikram Vedha, Gayatri,2017,Índia,Aventura
Viva: A Vida é uma Festa,Lee Unkrich,2017,EUA,Animação
A chegada,Denis Villeneuve,2016,EUA,Drama
A criada,Chan Wook,2016,China,Drama
A voz do silêncio,Naoko Yamada,2016,Japão,Animação
Até o Último Homem,Mel Gibson,2016,EUA,Drama
Dangal,Nitesh Tiwari,2016,Índia,Drama
Dinheiro em jogo,Martin Rosete,2016,EUA,Policial
La La Land: Cantando Estações,Damien Chazelle,2016,EUA,Musical
Moonlight: Sob a Luz do Luar,Barry Jenkins,2016,EUA,Drama
No fim do túnel,Rodrigo Grande,2016,Argentina,Drama
Um contratempo,Oriol Paulo,2016,Espanha,Policial
Um dia perfeito,Fernando León de Aranoa,2016,Espanha,Guerra
Your name,Makoto Shinkai,2016,Japão,Animação
Zootopia,Byron Howard,2016,EUA,Animação
A chantagem,Nishikant Kamat,2015,Índia,Policial
A ponte dos espiões,Steven Spielberg,2015,EUA,Drama
Decisão de risco,Gavin Hookd,2015,EUA,Guerra
Divertida Mente,Pete Docter,2015,EUA,Animação
Kingsman: serviço secreto,Matthew Vaughn,2015,Reino Unido,Ação
Mad Max: Estrada da Fúria,George Miller,2015,Austrália,Aventura
O Quarto de Jack,Lenny Abrahamson,2015,EUA,Drama
O regresso,Alejandro González-Iñárritu,2015,EUA,Aventura
Perdido em marte,Ridley Scott,2015,EUA,Ficção
Spotlight: Segredos Revelados,Tom McCarthy,2015,EUA,Drama
Star Wars: O Despertar da Força,J. J. Abrams,2015,EUA,Aventura
Birdman,Alejandro González-Iñárritu,2014,EUA,Drama
Boyhood: Da Infância à Juventude,Richard Linklater,2014,EUA,Drama
Ex-Machina: Instinto Artificial,Alex Garland,2014,EUA,Drama
Interestelar,Christopher Nolan,2014,EUA,Ficção
O abutre,Dan Gilroy,2014,EUA,Drama
O Grande Hotel Budapeste,Wes Anderson,2014,EUA,Comédia
Relatos Selvagens,Damián Szifron,2014,Argentina,Drama
RoboCop 2014,José Padilha,2014,EUA,Ficção
Um dia difícil,Kim Seon Hun,2014,Coreia do Sul,Policial
Uma Aventura Lego,Phil Lord,2014,EUA,Animação
Whiplash: Em Busca da Perfeição,Damien Chazelle,2014,EUA,Drama
12 Anos de Escravidão,Steve McQueen,2013,EUA,Drama
A grande beleza,Paolo Sorrentino,2013,Itália,Drama
Elysuym,Neill Blomkamp,2013,EUA,Ficção
Gravidade,Alfonso Cuaron,2013,EUA,Ficção
O Lobo de Wall Street,Martin Scorsese,2013,EUA,Drama
Os Suspeitos 2013,Denis Villeneuve,2013,EUA,Policial
Rush: No Limite da Emoção,Ron Howard,2013,EUA,Aventura
Tangerinas,Zaza Urushadze,2013,Georgia,Drama
007 Operação Skyfall,Sam Mendes,2012,EUA,Aventura
A Caça,Thomas Vinterberg,2012,Suécia,Drama
A vida de Pi,Ang Lee,2012,EUA,Drama
Argo,Ben Affleck,2012,EUA,Drama
Batman: O Cavaleiro das Trevas Ressurge,Christopher Nolan,2012,EUA,Aventura
Django Livre,Quentin Tarantino,2012,EUA,Drama
Ela,Spike Jonze,2012,EUA,Ficção
Gangues de Wasseypur,Anurag Kashyap,2012,Índia,Policial
Garota Exemplar,David Fincher,2012,EUA,Drama
Lincoln,Steven Spielberg,2012,EUA,Drama
O grande Gatsby,Baz Luhrmann,2012,EUA,Drama
O voo,Robert Zemeckis,2012,EUA,Drama
Os miseráveis,Tom Hooper,2012,EUA,Drama
A invenção de Hugo Cabret,Martin Scorsese,2011,EUA,Drama
A Separação,Asghar Farhadi,2011,Irã,Drama
Drive,Nicolas Winding Refn,2011,EUA,Drama
Guerreiro,Gavin O'Connor,2011,EUA,Drama
Harry Potter e as Relíquias da Morte: Parte II ,David Yates,2011,EUA,Aventura
Intocáveis,Olivier Nakache,2011,França,Drama
Missão impossível protocolo fantasma,Brad Bird,2011,EUA,Aventura
O Artista,Michel Hazanavicius,2011,EUA,Drama
Os descendentes,Alexander Payne,2011,EUA,Comédia
A origem,Christopher Nolan,2010,EUA,Aventura
A rede social,David Fincher,2010,EUA,Drama
Bravura Indômita,Joel e Ethan Cohen,2010,EUA,Western
Cisne Negro,Darren Aronofsky,2010,EUA,Drama
Como Treinar o Seu Dragão,Dean DeBlois,2010,EUA,Animação
Deixe-me entrar,Matt Reeves,2010,EUA,Terror
Hamilton,Thomas Kail,2010,EUA,Drama
Ilha do medo,Martin Scorsese,2010,EUA,Drama
Incêndios,Denis Villeneuve,2010,Canadá,Drama
Kick ass – quebrando tudo,Christopher Mintz-Plasse,2010,EUA,Aventura
Lobisomem,Joe Johnston,2010,EUA,Terror
Toy Story 3,Lee Unkrich,2010,EUA,Animação
Tropa de elite II o inimigo agora é outro,José Padilha,2010,Brasil,Policial
3 Idiotas,Rajkumar Hirani,2009,Índia,Comédia
A fita branca,Michael Haneke,2009,Alemanha,Drama
A onda,Dennis Gansel,2009,Alemanha,Drama
Amor sem escalas,Jason Reitman,2009,EUA,Comédia
Avatar,James Cameron,2009,EUA,Aventura
Bastardos inglórios,Quentin Tarantino,2009,EUA,Guerra
Código de conduta,F Gary Gray,2009,EUA,Policial
Distrito 9,Neill Blomkamp,2009,África do Sul,Ficção
Educação,Lone Scherfig,2009,Inglaterra,Drama
Guerra ao terror,Kathryn Bigelow,2009,EUA,Guerra
Harry Potter e o Enigma do Príncipe,David Yates,2009,EUA,Aventura
Mary e Max: Uma Amizade Diferente,Adam Elliott,2009,EUA,Animação
O Segredo dos Seus Olhos,Juan Jose Campanella,2009,Argentina,Drama
"Se beber, não case",Todd Phillips,2009,EUA,Comédia
Sempre ao Seu Lado,Lasse Hallström,2009,Inglaterra,Drama
Star Trek,J. J. Abrams,2009,EUA,Ficção
Up: Altas Aventuras,Pete Docter,2009,EUA,Animação
A partida,Yojiro Takita,2008,Japão,Drama
A Wednesday,Neeraj Pandey,2008,Índia,Drama
Austrália,Baz Luhrmann,2008,EUA,Drama
Batman: O Cavaleiro das Trevas,Christopher Nolan,2008,EUA,Aventura
Ensaio sobre a cegueira,Fernando Meirelles,2008,Brasil,Drama
Gomorra,Matteo Garrone,2008,Itália,Drama
Gran Torino,Clint Eastwood,2008,EUA,Drama
Homem de ferro,Jon Favreau,2008,EUA,Aventura
Na mira do chefe,Martin McDonagh,2008,EUA,Drama
O curioso caso de Benjamin Button,David Fincher,2008,EUA,Drama
O lutador,Darren Aronofsky,2008,EUA,Drama
O menino do pijama listrado,Mark Herman,2008,EUA,Guerra
Quem quer ser um milionário?,Danny Boyle,2008,EUA,Drama
Rede de mentiras,Ridley Scott,2008,EUA,Drama
Sangue negro,Paul Thomas Anderson,2008,EUA,Drama
Um ato de liberdade,Edward Zwick,2008,EUA,Guerra
WALL·E,Andrew Stanton,2008,EUA,Animação
Antes que o diabo saiba que você está morto,Sidney Lumet,2007,EUA,Drama
Borat,Larry Charles,2007,EUA,Comédia
Chumbo Grosso,Edgar Wright,2007,EUA,Aventura
Como Estrelas na Terra, Aamir Khan,2007,Índia,Drama
Desejo e reparação,Joe Wright,2007,EUA,Drama
Harry Potter e a Ordem da Fênix,David Yates,2007,EUA,Aventura
Juno,Jason Reitman,2007,EUA,Animação
Na natureza selvagem,Sean Penn,2007,EUA,Aventura
O escafandro e a borboleta,Julian Schnabel,2007,EUA,Drama
O gângster,Ridley Scott,2007,EUA,Policial
O Ultimato Bourne,Paul Greengrass,2007,EUA,Aventura
Onde os Fracos Não Têm Vez,Joel e Ethan Cohen,2007,EUA,Drama
Os reis da rua,David Ayer,2007,EUA,Policial
Piratas do Caribe: No Fim do Mundo,Gore Verbinski,2007,EUA,Aventura
Ratatouille,Brad Bird,2007,EUA,Animação
Sentença de morte,James Wan,2007,EUA,Policial
Tropa de elite,José Padilha,2007,Brasil,Policial
Valente,Neil Jordan,2007,EUA,Policial
Zodíaco,David Fincher,2007,EUA,Policial
007 Cassino Royale,Martin Campbell,2006,EUA,Aventura
16 quadras,Richard Donner,2006,EUA,Policial
300,Zack Snyder,2006,EUA,Aventura
A culpa é do Fidel,Julie Gavras,2006,França,Drama
A maldição da flor dourada,Zhang Yimou,2006,China,Drama
A Rainha,Stephen Frears,2006,EUA,Drama
